Determinante,Subdeterminante,Nome do indicador,Fonte,Unidade de medida,Período,Mafra,Bela Vista do Toldo,Canoinhas,Irineópolis,Itaiópolis,Major Vieira,Monte Castelo,Papanduva,Porto União, Três Barras,São Paulo,Rio de Janeiro,Brasília,Salvador,Fortaleza,Belo Horizonte,Manaus,Curitiba,Recife,Goiânia,Belém,Porto Alegre,Guarulhos,Campinas,São Luís,São Gonçalo,Maceió,Duque de Caxias,Campo Grande,Natal,Teresina,São Bernardo do Campo,João Pessoa,Nova Iguaçu,São José dos Campos,Santo André,Ribeirão Preto,Jaboatão dos Guararapes,Uberlândia,Osasco,Sorocaba,Contagem,Aracaju,Feira de Santana,Cuiabá,Joinville,Aparecida de Goiânia,Londrina,Juiz de Fora,Porto Velho,Ananindeua,Serra,Caxias do Sul,Macapá,Niterói,Florianópolis,Belford Roxo,Campos dos Goytacazes,Vila Velha,Mauá,São João de Meriti,São José do Rio Preto,Mogi das Cruzes,Betim,Boa Vista,Maringá,Santos,Diadema,Jundiaí,Rio Branco,Montes Claros,Campina Grande,Piracicaba,Carapicuíba,Anápolis,Olinda,Cariacica,Bauru,Itaquaquecetuba,São Vicente,Vitória,Caruaru,Caucaia,Blumenau,Petrolina,Ponta Grossa,Franca,Canoas,Pelotas,Vitória da Conquista,Ribeirão das Neves,Uberaba,Paulista,Praia Grande,Cascavel,São José dos Pinhais,Guarujá,Taubaté,Palmas,Limeira,Camaçari,Santarém,Petrópolis,Mossoró,Suzano,Taboão da Serra,Várzea Grande,Sumaré,Marabá,Gravataí,Santa Maria
Acesso a Capital,Capital Disponível,Operações de Crédito por Município,BACEN e IBGE,% crédito,2021.0,217.0,68.0,542.0,59.0,285.0,352.0,3023.0,82.0,211.0,1613.0,2.0684,0.5054,0.6736,0.5053,0.5133,1.2808000000000002,0.2147,0.7551000000000001,0.5837,0.8502,0.5807,1.1462999999999999,0.16269999999999998,0.4375,0.4336,0.1548,0.47950000000000004,0.1245,0.6079,0.5011,0.5387,0.38909999999999995,0.5604,0.1685,0.1956,0.2115,0.6747,0.13019999999999998,0.5241,6.2249,0.2862,0.1523,0.6634,0.3789,0.727,0.2621,0.1776,0.5885,0.4045,0.3865,0.261,0.12029999999999999,0.2932,0.41119999999999995,0.1311,0.7217,0.09230000000000001,0.1112,0.2564,0.1754,0.1376,0.5429999999999999,0.21539999999999998,0.09369999999999999,0.4227,0.5457,0.3467,0.1446,0.1333,0.44079999999999997,0.4171,0.40990000000000004,0.2872,0.12269999999999999,0.3593,0.1972,0.1528,0.45299999999999996,0.1025,0.2968,0.5509000000000001,0.3333,0.1699,0.4583,0.32689999999999997,0.3958,0.5492,0.1993,0.4879,0.3998,0.10890000000000001,0.3084,0.1678,0.2823,0.575,0.12029999999999999,0.17350000000000002,0.1672,0.7111,0.2349,0.0574,0.3032,0.15109999999999998,0.4172,0.16649999999999998,0.1576,0.2557,0.1341,0.2148,0.1572,0.5982999999999999
Acesso a Capital,Capital Disponível,Capital Poupado per capita,BACEN e IBGE,R$/habitante,2021.0,13976.43,0.0,10565.17,429960.0,7572.35,2754.48,0.0,6993.72,58473.77,3049.77,73538.0,45609.41,30904.11,12869.45,14054.69,37183.28,7710.99,38313.58,20800.56,17925.86,12085.14,83609.49,10479.61,32239.26,8036.46,3853.84,10020.89,5963.35,9790.65,9844.88,8465.49,18825.67,10371.52,4931.01,13135.26,17702.54,26065.46,2977.57,12924.64,31109.53,13802.72,10804.45,15992.68,6417.88,18844.94,15514.9,2526.29,15313.37,12676.34,8271.2,2450.41,4580.5,15548.61,3747.04,24609.25,23997.96,1703.04,8734.89,8396.72,6655.45,4160.73,20884.09,12037.92,9215.77,5399.09,17185.01,31662.98,11572.82,24104.45,6541.38,6276.85,7101.08,22325.09,3159.07,8132.97,3613.28,4907.12,14200.63,3686.17,5918.25,55592.75,5610.17,1368.1,17507.45,4737.13,9238.66,11332.53,9437.3,9398.27,6081.36,1430.71,10906.78,2536.6,6771.75,12014.89,8990.72,8004.65,12362.5,9862.6,13281.63,7875.99,3780.56,13025.6,5338.63,7592.44,7534.22,4533.27,6817.16,3812.42,5131.69,10142.41
Acesso a Capital,Capital Disponível,Proporção Relativa de Capital de Risco,Crunchbase,% capital de risco,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875,0.0116,0.0001,0.0034999999999999996,0.0001,0.046799999999999994,0.0,0.0659,0.0033,0.001,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0001,0.0,0.0007000000000000001,0.0,0.001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0051,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0
Mercado,Clientes Potenciais,PIB per capita,IBGE,R$,2019.0,43817.87,30823.44,40376.72,4042158.0,47859.71,36581.74,2873169.0,43734.95,32220.81,78265.31,61615.28,52391.45,88424.36,21999.0,24936.36,38410.43,37620.16,48931.55,32926.35,34014.86,21511.48,55229.36,46391.07,53852.94,28768.55,16708.14,22694.78,48773.38,33007.49,27718.62,25274.94,60087.65,25244.46,21110.9,58940.43,41911.23,49096.57,19499.72,53252.7,116795.46,53619.9,45175.02,26069.21,23871.21,39485.71,57099.66,23877.94,37185.23,32371.31,32629.57,15110.37,48187.26,51580.57,21890.63,90048.19,42522.57,15653.21,56539.45,25281.65,33800.62,20693.33,40020.68,35603.32,62366.11,24214.84,44245.39,52427.63,35621.75,109975.34,21798.97,23268.86,22980.54,67814.59,15187.59,37168.56,14667.03,26344.96,40147.63,20203.49,14958.55,58492.3,20606.38,18756.9,47197.95,20219.01,43483.11,28357.78,58989.5,27472.95,21137.43,12727.3,45673.06,13472.9,22640.04,37498.87,89542.44,28022.29,57219.54,33348.12,44358.59,84876.31,16625.12,44420.79,22798.63,39685.09,29619.21,29604.45,51209.97,39690.92,43410.44,30743.74
Mercado,Clientes Potenciais,Proporção entre Grandes/Médias e Médias/Pequenas Empresas,RAIS (ME),% empresas,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367,1.4016,1.347,1.6794,1.0354,1.504,1.1812,1.6199000000000001,1.3033000000000001,1.0859999999999999,2.2328,1.4094,0.7132,1.05,1.5649000000000002,1.3728,0.9451,1.0317,1.4513999999999998,1.8430000000000002,1.2318,1.2129,1.3766999999999998,0.9765,1.0051999999999999,1.4853,0.9520000000000001,0.8284999999999999,0.0,0.9215000000000001,1.0436,1.2154,1.7889,0.9442,1.0362,1.5099,0.9265000000000001,0.9989,1.3421,1.5478999999999998,0.8404,1.0754000000000001,0.7997,1.0311,0.9002,1.7224000000000002,0.7874,0.9756,1.1575,0.7889,0.9545999999999999,0.9627,1.077,1.0415,1.36,0.7337,1.037,0.5693,1.0552,1.1697,1.0998,1.1175,1.1915,0.4943,1.0996,1.8538999999999999,0.7159,1.5213999999999999,0.41840000000000005,0.9983,1.5571000000000002,1.0889,0.6557999999999999,1.6272,1.1278,1.8672,0.7508,0.9267,1.0186,0.8423,1.3719999999999999,1.0056,1.4987000000000001,0.3505,0.6075,0.0,0.8259000000000001,1.3519999999999999,1.4796,1.2319,1.0218,0.9948999999999999,1.1344,0.7293000000000001,1.3603999999999998,0.6493000000000001,1.3431,0.9643999999999999,1.9505000000000001,1.0055,1.0021
Mercado,Clientes Potenciais,Compras Públicas,SICONFI e RAIS,R$/empresa,inf,372805.42,1027658.41,35448.43,234629415.0,494194.46,685806.68,52507310.0,,346139.81,2493251.71,804009.55,810772.78,1525630.18,570356.45,627390.99,594003.99,1034996.87,554522.48,531802.15,461055.53,651435.86,642154.14,721672.24,723057.8,646401.56,688472.67,537343.37,1297787.51,768506.06,564886.44,709659.37,1034483.72,467387.87,941181.1,839109.38,732180.75,492108.86,769328.13,0.0,1116026.86,709747.29,547784.25,553541.88,472604.12,693478.21,564273.63,627006.1,481440.09,495704.73,709606.2,757178.61,610436.05,610449.91,791406.23,930973.05,433724.74,1550614.32,762275.68,400262.1,846829.84,939632.09,472043.89,776124.26,1016574.0,997232.48,371563.9,756382.47,819792.38,829134.34,569268.17,460726.17,489499.73,554036.05,677686.84,555778.41,628655.21,603328.01,558106.39,818565.02,1139458.63,452549.1,411253.07,1196401.59,540730.79,546661.16,332150.15,298053.47,906213.12,549969.09,405649.99,898768.45,462459.14,772396.73,921974.44,370492.4,0.0,1110050.42,730227.53,679481.82,547238.9,1344303.44,705406.01,682920.75,468584.3,762917.57,861785.28,664422.43,654239.06,947437.11,795221.36,418066.34
Mercado,Clientes Potenciais,Índice de Clientes Potenciais,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2315,7.0409,9.4949,6.0909,5.3449,6.3385,6.7869,6.7169,5.7568,5.3147,7.0675,6.7693,5.6677,6.3747,6.2731,5.7452,4.9562,7.44,6.4855,6.4792,5.8206,7.4564,5.5135,5.8253,6.6989,6.7047,5.6024,5.1934,3.2575,8.7761,6.3302,6.0015,6.3292,4.8486,5.8919,6.8024,5.1541,5.318,5.7212,6.4908,5.0629,6.0131,5.7007,5.6059,7.6049,6.4309,6.7026,6.4236,5.0471,5.6983,5.7779,5.3231,6.0216,7.2283,6.5973,4.887,6.3874,5.367,8.1683,5.3311,5.0359,5.1157,6.6083,4.384,5.6255,6.2698,4.8611,6.3354,4.7137,6.1121,6.6709,4.8397,5.8346,6.6499,5.177,6.4532,4.3133,6.7285,5.2244,4.4788,6.0848,5.5228,6.0212,4.9031,4.5112,4.2651,6.1574,6.9289,6.3455,6.002,8.5277,5.2218,6.1512,4.4933,6.5246,5.4084,6.0078,6.0272,7.7912,6.1739,5.0079
Ambiente Regulatório,Complexidade Burocrática,Atualização de Zoneamento,MUNIC/IBGE,Anos,2018 (atualizado),3.0,17.0,1.0,26.0,17.0,5.0,16.0,19.0,5.0,19.0,4.0,44.0,0.0,4.0,3.0,24.0,6.0,20.0,24.0,12.0,21.0,0.0,13.0,32.0,28.0,2.0,13.0,0.0,15.0,13.0,14.0,8.0,45.0,5.0,10.0,4.0,13.0,7.0,9.0,42.0,0.0,10.0,0.0,6.0,5.0,3.0,0.0,5.0,34.0,21.0,0.0,0.0,0.0,16.0,4.0,6.0,23.0,12.0,0.0,6.0,10.0,28.0,4.0,8.0,14.0,9.0,9.0,0.0,0.0,11.0,11.0,0.0,13.0,21.0,0.0,12.0,0.0,38.0,12.0,21.0,0.0,0.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,13.0,14.0,13.0,17.0,9.0,3.0,4.0,0.0,0.0,27.0,0.0,12.0,0.0,22.0,10.0,24.0,0.0,0.0,25.0,0.0,0.0,11.0
Ambiente Regulatório,Complexidade Burocrática,Simplicidade Tributária,SICONFI,Índice,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0495,0.0429,0.0355,0.0294,0.0418,0.0183,0.0459,0.0322,0.0426,0.0224,0.037,0.0446,0.059,0.0267,0.0093,0.0191,0.0187,0.0255,0.0259,0.0158,0.0316,0.0228,0.0078,0.0311,0.0367,0.0428,0.0208,0.0208,0.0618,0.0265,0.0566,0.0425,0.0189,0.0299,0.0299,0.0269,0.054,0.0269,0.0094,0.0093,0.023,0.0191,0.0053,0.028,0.0506,0.0065,0.0106,0.0311,0.0265,0.0116,0.0443,0.0442,0.0132,0.0115,0.0503,0.0591,0.0443,0.027,0.0141,0.0135,0.0108,0.0327,0.039,0.0238,0.016,0.0129,0.0396,0.0192,0.0397,0.0339,0.0177,0.0104,0.0247,0.0107,0.0293,0.0599,0.0143,0.0253,0.0202,0.0173,0.0095,0.0134,0.1015,0.0181,0.0323,0.1044,0.027,0.0218,0.0302,0.0317,0.0024,0.026,0.0199,0.0396,0.0262,0.0175,0.0315,0.0112,0.01,0.0214
Ambiente Regulatório,Complexidade Burocrática,CNDs Municipais,Websites das prefeituras.,Binária,2022.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
