,SS Loadings,Proportion Var,Cumulative Var
Factor1,2.278580498673906,0.325511499810558,0.325511499810558
Factor2,2.252158854426214,0.32173697920374483,0.6472484790143028
Factor3,1.186102510064812,0.16944321572354457,0.8166916947378474
